Stock ticker,Date,Open,High,Low,Close,Adj Close,Volume
IMPP,3/31/2022,1.53,1.55,1.45,1.45,1.45,24497000
IMPP,4/1/2022,1.42,1.44,1.31,1.32,1.32,26371700
IMPP,4/4/2022,1.37,1.49,1.36,1.45,1.45,26549000
IMPP,4/5/2022,1.42,1.44,1.35,1.36,1.36,15168100
IMPP,4/6/2022,1.36,1.42,1.29,1.31,1.31,19168200
IMPP,4/7/2022,1.29,1.33,1.19,1.21,1.21,18072300
IMPP,4/8/2022,1.17,1.32,1.13,1.26,1.26,18311500
IMPP,4/11/2022,1.16,1.19,1.11,1.13,1.13,9618200
IMPP,4/12/2022,1.24,1.45,1.21,1.24,1.24,47874800
IMPP,4/13/2022,1.27,1.33,1.18,1.28,1.28,19382200
IMPP,4/14/2022,1.24,1.57,1.18,1.46,1.46,60497200
IMPP,4/18/2022,1.38,1.53,1.32,1.36,1.36,45007800
IMPP,4/19/2022,1.3,1.31,1.21,1.25,1.25,19232500
IMPP,4/20/2022,1.25,1.33,1.22,1.24,1.24,13452300
IMPP,4/21/2022,1.25,1.3,1.1,1.11,1.11,24968800
IMPP,4/22/2022,1.07,1.12,1.03,1.07,1.07,11514800
IMPP,4/25/2022,1,1.03,0.931,0.978,0.978,13900100
IMPP,4/26/2022,1.02,1.09,1,1,1,14817400
IMPP,4/27/2022,1,1,0.95,0.956,0.956,7442700
IMPP,4/28/2022,0.958,1.03,0.902,1.01,1.01,12501800
IMPP,4/29/2022,1.02,1.06,0.95,0.96,0.96,10280700
IMPP,5/2/2022,0.904,0.938,0.862,0.88,0.88,8814400
IMPP,5/3/2022,0.87,0.959,0.865,0.9,0.9,7843500
IMPP,5/4/2022,0.97,1.06,0.96,1.04,1.04,24525100
IMPP,5/5/2022,1.01,1.03,0.905,0.91,0.91,16352800
IMPP,5/6/2022,0.936,0.961,0.875,0.89,0.89,7872800
IMPP,5/9/2022,0.867,0.875,0.768,0.791,0.791,7939000
IMPP,5/10/2022,0.773,0.814,0.7,0.709,0.709,7782800
IMPP,5/11/2022,0.72,0.8,0.68,0.688,0.688,11446900
IMPP,5/12/2022,0.653,0.694,0.625,0.668,0.668,7559700
IMPP,5/13/2022,0.694,0.727,0.658,0.668,0.668,13444600
IMPP,5/16/2022,0.681,0.89,0.66,0.765,0.765,38998600
IMPP,5/17/2022,0.431,0.538,0.429,0.5,0.5,162998300
IMPP,5/18/2022,0.514,0.514,0.45,0.464,0.464,43406000
IMPP,5/19/2022,0.452,0.475,0.43,0.455,0.455,33535800
IMPP,5/20/2022,0.455,0.461,0.42,0.426,0.426,33383100
IMPP,5/23/2022,0.431,0.45,0.39,0.424,0.424,31741700
IMPP,5/24/2022,0.41,0.414,0.38,0.385,0.385,20952100
IMPP,5/25/2022,0.4,0.4,0.38,0.385,0.385,15837600
IMPP,5/26/2022,0.394,0.422,0.38,0.396,0.396,32756900
IMPP,5/27/2022,0.415,0.56,0.397,0.548,0.548,116828200
IMPP,5/31/2022,0.633,0.64,0.49,0.515,0.515,130422100
IMPP,6/1/2022,0.505,0.54,0.475,0.487,0.487,49554500
IMPP,6/2/2022,0.48,0.539,0.475,0.523,0.523,50644000
IMPP,6/3/2022,0.51,0.565,0.49,0.558,0.558,50669900
IMPP,6/6/2022,0.552,0.595,0.53,0.539,0.539,40414700
IMPP,6/7/2022,0.53,0.615,0.517,0.59,0.59,81982100
IMPP,6/8/2022,0.639,0.88,0.613,0.75,0.75,257648100
IMPP,6/9/2022,0.785,0.97,0.76,0.82,0.82,234146800
IMPP,6/10/2022,0.789,0.915,0.77,0.882,0.882,134558500
IMPP,6/13/2022,0.743,0.869,0.69,0.787,0.787,171298900
IMPP,6/14/2022,0.815,0.865,0.611,0.623,0.623,136252000
IMPP,6/15/2022,0.601,0.603,0.517,0.544,0.544,83770800
IMPP,6/16/2022,0.5201,0.5935,0.47,0.545,0.545,84859348
